Tiles,PEs,Cols,Rows,EDP,TOPS,Energy,Area,Cycles,Latency,Power,Energy_per_MAC,TOPS_per_W,TOPS_per_mm2
1,1,9,113,4124.798059230412,155.399140625,430.4503938732836,1.2514520367000004e-05,47912583168.0,9.582516633600001,44.920390992482965,7.430597857479471e-11,3.459434283441671,12417506.709628094
1,1,100,12,1490.2976362372842,194.38980468749997,182.5607911858117,3.45075800566e-05,40816476160.0,8.163295232,22.363614937038662,3.151429745739901e-11,8.692235366901762,5633249.401107178
1,64,4,4,4745.281145281011,185.599921875,524.2464641383333,7.795547628e-05,45258113024.0,9.051622604800002,57.91740188773776,9.049674443651264e-11,3.2045622874235855,2380845.2046186384
1,32,4,8,4184.194047797915,185.5998046875,462.25364883981,4.572614508e-05,45258637312.0,9.051727462400002,51.068003401556986,7.979552772464009e-11,3.6343657931580964,4058942.741899292
1,16,4,16,4486.887546670103,185.599609375,495.68257695970226,2.936398188e-05,45259685888.0,9.051937177600001,54.75983397082367,8.556604226384024e-11,3.3893384241064073,6320655.357079249
1,8,4,32,5579.769631125901,185.599609375,616.4171847031423,2.102200588e-05,45259685888.0,9.051937177600001,68.09781957264721,1.0640757075218819e-10,2.7254853465168747,8828824.919679834
1,32,8,4,3148.9163143684045,185.599921875,347.88418075435004,7.498571993799999e-05,45258113024.0,9.051622604800002,38.43335012331048,6.005264308454106e-11,4.829137227941795,2475136.8931105617
1,16,8,8,2695.0919363930843,185.5998046875,297.7433807622064,4.3137159938e-05,45258637312.0,9.051727462400002,32.89354236514561,5.139730157689258e-11,5.642438951305037,4302550.398641407
1,8,8,16,2636.689125153944,185.599609375,291.28451439971514,2.7022495938e-05,45259685888.0,9.051937177600001,32.179246130930984,5.028230611372582e-11,5.7676804677099,6868337.025596633
1,4,8,32,2914.1570498183196,185.599609375,321.93739225562865,1.8841411938e-05,45259685888.0,9.051937177600001,35.565579603479534,5.5573687259730186e-11,5.218517776014031,9850621.067345617
