Tiles,PEs,Cols,Rows,EDP,TOPS,Energy,Area,Cycles,Latency,Power,Energy_per_MAC,TOPS_per_W,TOPS_per_mm2
1,1,9,113,0.40380754028383214,40.79826171875,1.2201986172964812,1.2514520367000004e-05,1654679552.0,0.3309359104,3.687114570980331,8.802684416184946e-11,11.065091939332536,3260073.9398956452
1,1,100,12,0.1264830159271817,49.771445312500006,0.7064170210119655,3.45075800566e-05,895243264.0,0.17904865279999999,3.945391433919605,5.0961915301762685e-11,12.615084243505304,1442333.6910575565
1,64,4,4,0.046325835833783816,61.9017578125,1.3748567573135486,7.795547628e-05,168475136.0,0.0336950272,40.80295733708589,9.918366685720605e-11,1.5170899820106265,794065.5456989532
1,32,4,8,0.05840090004322619,59.946328124999994,1.2773582303652549,4.572614508e-05,228600320.0,0.045720064,27.938679840108158,9.215003812870051e-11,2.1456392523938215,1310985.8270388008
1,16,4,16,0.11609357737591308,57.389394531250005,1.409732162784596,2.936398188e-05,411757568.0,0.08235151360000001,17.118473008668488,1.0170011901529525e-10,3.352483279448409,1954414.5874282224
1,8,4,32,0.2670577717403556,53.04998046875001,1.7417565335599878,2.102200588e-05,766633472.0,0.15332669440000002,11.359773589170834,1.256521691439537e-10,4.669985722190983,2523545.1255972157
1,32,8,4,0.0311139627774446,61.12822265625,0.8971383224780619,7.498571993799999e-05,173406720.0,0.034681344,25.868037942187645,6.47205407704302e-11,2.363079209674316,815198.1831579705
1,16,8,8,0.037938778570238994,59.73029296875,0.8016528392997959,4.3137159938e-05,236628480.0,0.047325696,16.939060744078564,5.7832090580139523e-11,3.5261868335663236,1384659.8397900767
1,8,8,16,0.07103642304660132,55.866953125,0.8164360156321868,2.7022495938e-05,435039744.0,0.08700794880000001,9.383464693655515,5.889854295374383e-11,5.953766007429386,2067423.8698446022
1,4,8,32,0.137058668412365,53.04998046875001,0.893899584470302,1.8841411938e-05,766633472.0,0.15332669440000002,5.830032323910206,6.448686691933911e-11,9.099431619131977,2815605.361387859
