Tiles,PEs,Cols,Rows,EDP,TOPS,Energy,Area,Cycles,Latency,Power,Energy_per_MAC,TOPS_per_W,TOPS_per_mm2
1,1,9,113,1.0197307414037775,18.695664062499997,3.6034164533033186,3.7487520367e-05,1414949888.0,0.2829899776,12.733371280012847,3.1037041984592865e-11,1.4682414932678485,498717.00980675314
1,1,100,12,0.5349196743259634,27.478945312500002,3.075993810467613,3.71595800566e-05,869507072.0,0.1739014144,17.688147167063022,2.6494400782141824e-11,1.5535231052163767,739484.8184679472
1,64,4,4,1.914775799193727,20.384726562499996,7.433292473441922,0.00013453147628,1287972864.0,0.2575945728,28.856557002127655,6.40248491218499e-11,0.7064157571188062,151523.8450225085
1,32,4,8,1.4140470459333383,20.304218749999993,5.458805599016619,0.00010230214508,1295198208.0,0.2590396416,21.073244100012758,4.7018025836189094e-11,0.9635070259537164,198473.04994555246
1,16,4,16,1.208325220614047,20.294042968749995,4.664627014303366,8.593998188000001e-05,1295200256.0,0.25904005119999995,18.007358293416544,4.01775718749541e-11,1.1269861263419998,236142.04384039826
1,8,4,32,1.5080850962136356,17.589999999999996,4.781521915684637,7.759800588e-05,1576992768.0,0.31539855359999996,15.160253149888373,4.118426643535558e-11,1.160270862635926,226681.0828515584
1,32,8,4,2.0373278994893766,17.619999999999997,6.4595598608240845,0.0001032737199379,1576986624.0,0.3153973248,20.48070593154278,5.5637564577640537e-11,0.8603219077943526,170614.5572232235
1,16,8,8,1.530850305339535,17.619999999999997,4.853720006376969,7.142515993799999e-05,1576986624.0,0.3153973248,15.3892237654673,4.1806123964324205e-11,1.1449570341252986,246691.78221364698
1,8,8,16,1.3063977657275814,17.609824218749996,4.142064521207866,5.5310495938e-05,1576988672.0,0.31539773439999996,13.132829026459444,3.567648386610587e-11,1.3409010490634197,318381.23886087793
1,4,8,32,1.2362735648414835,17.589999999999996,3.9197185615802512,4.712941193800001e-05,1576992768.0,0.31539855359999996,12.427826687345505,3.376137063435701e-11,1.415372167839355,373227.6571398792
