Tiles,PEs,Cols,Rows,EDP,TOPS,Energy,Area,Cycles,Latency,Power,Energy_per_MAC,TOPS_per_W,TOPS_per_mm2
1,1,9,113,164.55617485026653,16.40767578125,77.08580469453538,1.2514520367000004e-05,10673571840.0,2.134714368,36.11059439617515,7.785703801930524e-11,0.4543729078851138,1311091.0606303378
1,1,100,12,37.956332023723625,21.825253906249998,26.475676294213784,3.45075800566e-05,7168151552.0,1.4336303103999999,18.46757570773371,2.6740763818048003e-11,1.181814779138021,632477.0925823194
1,64,4,4,199.54231176095323,15.3709765625,90.54753486350688,7.795547628e-05,11018649600.0,2.20372992,41.08830852716602,9.145389182789329e-11,0.3740961142836361,197176.3536828461
1,32,4,8,183.14684049270437,15.236796875,82.31598872275589,4.572614508e-05,11124621312.0,2.2249242624,36.99720934948257,8.313975889731713e-11,0.41183638287608026,333218.48689283826
1,16,4,16,202.38009018498397,15.226621093749998,90.960306175972,2.936398188e-05,11124637696.0,2.2249275392000003,40.882367885417914,9.187058394029793e-11,0.37244958844913406,518547.5578882899
1,8,4,32,365.49393053942623,13.17,133.3596718666338,2.102200588e-05,13703315456.0,2.7406630912,48.659637258894975,1.3469355337531511e-10,0.2706555318102485,626486.3626800583
1,32,8,4,200.99295939316787,13.2,73.33760978377023,7.498571993799999e-05,13703266304.0,2.7406532608,26.75917119204014,7.407114249431324e-11,0.4932888206913714,176033.51692714397
1,16,8,8,177.99790280550565,13.2,64.94725376297615,4.3137159938e-05,13703266304.0,2.7406532608,23.69772736008858,6.559686499567852e-11,0.5570154386294137,306000.6736412884
1,8,8,16,183.7196041328833,13.189824218750001,67.03488803225487,2.7022495938e-05,13703282688.0,2.7406565375999996,24.45942682440518,6.77053803065065e-11,0.5392532013705827,488105.32709534053
1,4,8,32,213.82416782967624,13.17,78.0191365061414,1.8841411938e-05,13703315456.0,2.7406630912,28.467248220568656,7.879949448132373e-11,0.4626369186778011,698992.2009739778
