Tiles,PEs,Cols,Rows,EDP,TOPS,Energy,Area,Cycles,Latency,Power,Energy_per_MAC,TOPS_per_W,TOPS_per_mm2
1,1,9,113,141.20449653666464,112.42875000000004,80.23482256005846,1.2514520367000004e-05,8799452160.0,1.7598904320000002,45.590805598549025,7.437618937431789e-11,2.4660399947742575,8983864.07971875
1,1,100,12,50.238151393182505,139.82730468749997,33.85057516177447,3.45075800566e-05,7420575744.0,1.4841151488,22.80859082204287,3.1378676308656737e-11,6.130466620163438,4052075.064613413
1,64,4,4,164.34516899455474,122.20398437499998,97.4934154864886,7.795547628e-05,8428526592.0,1.6857053183999997,57.83538464423023,9.037394533886971e-11,2.1129622484008372,1567612.5681801809
1,32,4,8,145.1492073015941,122.20398437499998,86.10592000704108,4.572614508e-05,8428526592.0,1.6857053183999997,51.08005478013747,7.98180232915101e-11,2.392401200448969,2672518.843676817
1,16,4,16,156.25254685870144,120.90005859374997,92.68859418113432,2.936398188e-05,8428898304.0,1.6857796607999997,54.982626933076304,8.59199971130564e-11,2.198877451615889,4117291.0093673565
1,8,4,32,194.02853054163916,121.11789062499999,115.09812985165702,2.102200588e-05,8428830720.0,1.685766144,68.27645119183092,1.066930732024685e-10,1.7739335965881513,5761481.150579907
1,32,8,4,108.91547441717142,122.20398437499998,64.61121835965339,7.498571993799999e-05,8428526592.0,1.6857053183999997,38.32889275153953,5.989297520428269e-11,3.1882993638028196,1629696.7539424999
1,16,8,8,93.19939815628605,122.20398437499998,55.28807267734493,4.3137159938e-05,8428526592.0,1.6857053183999997,32.7981836883697,5.12506535246608e-11,3.72593755605844,2832916.7833635965
1,8,8,16,91.88704220254849,120.90005859374997,54.50714843655356,2.7022495938e-05,8428898304.0,1.6857796607999997,32.333495120404265,5.052675658406782e-11,3.739158360193952,4474052.244142851
1,4,8,32,101.43974110305662,121.11789062499999,60.17426643909193,1.8841411938e-05,8428830720.0,1.685766144,35.69550062045375,5.5780032415517565e-11,3.3930856416004054,6428281.013310118
