Tiles,PEs,Cols,Rows,EDP,TOPS,Energy,Area,Cycles,Latency,Power,Energy_per_MAC,TOPS_per_W,TOPS_per_mm2
1,1,9,113,69.20662483495757,16.40767578125,32.419618227330716,3.7487520367e-05,10673571840.0,2.134714368,15.18686467534504,3.2743972238452635e-11,1.0803859869698367,437683.67767780024
1,1,100,12,37.770898728980704,21.825253906249998,26.346331027587006,3.71595800566e-05,7168151552.0,1.4336303103999999,18.377353517474155,2.661012348284323e-11,1.187616807039022,587338.5510010241
1,64,4,4,140.08580859955003,15.3709765625,63.56759389079314,0.00013453147628,11018649600.0,2.20372992,28.845455749311213,6.420388875535303e-11,0.5328734167379913,114255.61502431169
1,32,4,8,105.05606739925302,15.236796875,47.2178173318719,0.00010230214508,11124621312.0,2.2249242624,21.222213326461095,4.769034557613417e-11,0.7179645516050803,148939.17290868988
1,16,4,16,90.25390864346414,15.226621093749998,40.56487550867209,8.593998188000001e-05,11124637696.0,2.2249275392000003,18.231998478142657,4.097082515572757e-11,0.835159190694556,177177.38310686732
1,8,4,32,116.63062873528798,13.17,42.555624261069326,7.759800588e-05,13703315456.0,2.7406630912,15.527492013779897,4.2981271381354664e-11,0.8481730332440205,169720.85623394113
1,32,8,4,160.456618853581,13.2,58.546851273970915,0.0001032737199379,13703266304.0,2.7406532608,21.362370830114063,5.91324448137028e-11,0.6179089439544908,127815.67283465099
1,16,8,8,121.47635969994286,13.2,44.32387031130081,7.142515993799999e-05,13703266304.0,2.7406532608,16.172739158678766,4.476720366818368e-11,0.816188270304013,184808.82662997392
1,8,8,16,104.15800527365549,13.189824218750001,38.004764130301034,5.5310495938e-05,13703282688.0,2.7406565375999996,13.86702916213715,3.838489306736827e-11,0.9511643816805258,238468.73898102564
1,4,8,32,98.86809831605879,13.17,36.07451737994157,4.712941193800001e-05,13703315456.0,2.7406630912,13.16269682901678,3.6435339590990714e-11,1.0005548385014171,279443.33396999486
