network,architecture,energy_model,optical_loss_db_per_stage,mapping,stationarity,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status
vision_transformer,c4_r8,conservative_walden,0.5,ASWM-WS,WS,98,65.40415728845433,0.8428526591999995,55.12606789330876,103113,,NOT_MODELED
vision_transformer,c4_r8,conservative_walden,1.0,ASWM-WS,WS,98,65.45179233202424,0.8428526591999995,55.16621721645277,103113,,NOT_MODELED
resnet18,c4_r32,optimistic_constant_symbol,0.0,ASWM-WS,WS,21,2.8427979829683254,0.07884963839999998,0.22415359300130175,1,,NOT_MODELED
resnet18,c4_r32,optimistic_constant_symbol,0.5,ASWM-WS,WS,21,2.842974278861129,0.07884963839999998,0.22416749386870075,1,,NOT_MODELED
resnet18,c4_r32,optimistic_constant_symbol,1.0,ASWM-WS,WS,21,2.8431720861062746,0.07884963839999998,0.22418309089845334,1,,NOT_MODELED
resnet18,c4_r32,linear_bit,0.0,ASWM-WS,WS,21,4.053391732363371,0.07884963839999998,0.3196084723904013,256,,NOT_MODELED
resnet18,c4_r32,linear_bit,0.5,ASWM-WS,WS,21,4.053568028256177,0.07884963839999998,0.31962237325780046,256,,NOT_MODELED
resnet18,c4_r32,linear_bit,1.0,ASWM-WS,WS,21,4.05376583550132,0.07884963839999998,0.31963797028755286,256,,NOT_MODELED
resnet18,c4_r32,conservative_walden,0.0,ASWM-WS,WS,21,8.49223548014521,0.07884963839999998,0.6696096968171,256,,NOT_MODELED
resnet18,c4_r32,conservative_walden,0.5,ASWM-WS,WS,21,8.492411776038015,0.07884963839999998,0.6696235976844991,256,,NOT_MODELED
resnet18,c4_r32,conservative_walden,1.0,ASWM-WS,WS,21,8.492609583283159,0.07884963839999998,0.6696391947142516,256,,NOT_MODELED
resnet18,c4_r8,optimistic_constant_symbol,0.0,ASWM-WS,WS,21,3.3053896407476686,0.0647599104,0.2140567369719072,1,,NOT_MODELED
resnet18,c4_r8,optimistic_constant_symbol,0.5,ASWM-WS,WS,21,3.306081492048648,0.0647599104,0.21410154120016872,1,,NOT_MODELED
resnet18,c4_r8,optimistic_constant_symbol,1.0,ASWM-WS,WS,21,3.306857761975981,0.0647599104,0.21415181237110903,1,,NOT_MODELED
resnet18,c4_r8,linear_bit,0.0,ASWM-WS,WS,21,8.07289912423695,0.0647599104,0.5228002239538233,1644,,NOT_MODELED
resnet18,c4_r8,linear_bit,0.5,ASWM-WS,WS,21,8.073590975537927,0.0647599104,0.5228450281820847,1610,,NOT_MODELED
resnet18,c4_r8,linear_bit,1.0,ASWM-WS,WS,21,8.074367245465265,0.0647599104,0.5228952993530253,1380,,NOT_MODELED
resnet18,c4_r8,conservative_walden,0.0,ASWM-WS,WS,21,7.220268736469905,0.1295198208,0.9351679128754246,2234,,NOT_MODELED
resnet18,c4_r8,conservative_walden,0.5,ASWM-WS,WS,21,7.224941913663768,0.1295198208,0.9357731819481402,2234,,NOT_MODELED
resnet18,c4_r8,conservative_walden,1.0,ASWM-WS,WS,21,7.231542951902767,0.1295198208,0.9366281472379494,2234,,NOT_MODELED
resnet18,c4_r16,optimistic_constant_symbol,0.0,ASWM-WS,WS,21,2.649817163751894,0.0647600128,0.17160219344223235,1,,NOT_MODELED
resnet18,c4_r16,optimistic_constant_symbol,0.5,ASWM-WS,WS,21,2.650152297067404,0.0647600128,0.17162389668003447,1,,NOT_MODELED
resnet18,c4_r16,optimistic_constant_symbol,1.0,ASWM-WS,WS,21,2.650528322832058,0.0647600128,0.17164824811336662,1,,NOT_MODELED
resnet18,c4_r16,linear_bit,0.0,ASWM-WS,WS,21,4.951940942714455,0.0647600128,0.3206877588350322,784,,NOT_MODELED
resnet18,c4_r16,linear_bit,0.5,ASWM-WS,WS,21,4.952276076029965,0.0647600128,0.3207094620728343,784,,NOT_MODELED
resnet18,c4_r16,linear_bit,1.0,ASWM-WS,WS,21,4.952652101794618,0.0647600128,0.32073381350616637,784,,NOT_MODELED
resnet18,c4_r16,conservative_walden,0.0,ASWM-WS,WS,21,4.873674141563949,0.1295200256,0.6312383995814208,2037,,NOT_MODELED
resnet18,c4_r16,conservative_walden,0.5,ASWM-WS,WS,21,4.875938478247306,0.1295200256,0.6315316765266161,2037,,NOT_MODELED
resnet18,c4_r16,conservative_walden,1.0,ASWM-WS,WS,21,4.879136938826213,0.1295200256,0.6319459412226768,1999,,NOT_MODELED
alexnet,paper_optimum_8x8,optimistic_constant_symbol,0.0,ASWM-WS,WS,8,0.88685913862907,0.0307974144,0.027312968406786514,1,,NOT_MODELED
alexnet,paper_optimum_8x8,optimistic_constant_symbol,0.5,ASWM-WS,WS,8,0.8872014233075883,0.0307974144,0.02732350988987362,1,,NOT_MODELED
alexnet,paper_optimum_8x8,optimistic_constant_symbol,1.0,ASWM-WS,WS,8,0.8875854730335107,0.0307974144,0.027335337628433053,1,,NOT_MODELED
alexnet,paper_optimum_8x8,linear_bit,0.0,ASWM-WS,WS,8,1.999459712531918,0.0307974144,0.061578189342950354,93,,NOT_MODELED
alexnet,paper_optimum_8x8,linear_bit,0.5,ASWM-WS,WS,8,1.9998019972104362,0.0307974144,0.06158873082603745,93,,NOT_MODELED
alexnet,paper_optimum_8x8,linear_bit,1.0,ASWM-WS,WS,8,2.0001860469363586,0.0307974144,0.06160055856459689,93,,NOT_MODELED
alexnet,paper_optimum_8x8,conservative_walden,0.0,ASWM-WS,WS,8,1.9333481546382456,0.0615948288,0.11908424859573867,244,,NOT_MODELED
alexnet,paper_optimum_8x8,conservative_walden,0.5,ASWM-WS,WS,8,1.9356687968096733,0.0615948288,0.11922718815299381,237,,NOT_MODELED
alexnet,paper_optimum_8x8,conservative_walden,1.0,ASWM-WS,WS,8,1.9389467910044496,0.0615948288,0.11942909564422845,232,,NOT_MODELED
