network,energy_model,optical_loss_db_per_stage,architecture,mapping,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status
alexnet,conservative_walden,0.0,c8_r32,ASWM,8,1.8404641092045135,0.0346481664,0.06376870670894576,99,,NOT_MODELED
alexnet,conservative_walden,0.5,c8_r32,ASWM,8,1.8405431532310157,0.0346481664,0.06377144543952892,99,,NOT_MODELED
alexnet,conservative_walden,1.0,c8_r32,ASWM,8,1.8406318420874535,0.0346481664,0.06377451834578461,99,,NOT_MODELED
alexnet,linear_bit,0.0,c8_r32,ASWM,8,0.8922520554505551,0.0346481664,0.030914897687992857,1,,NOT_MODELED
alexnet,linear_bit,0.5,c8_r32,ASWM,8,0.8923310994770572,0.0346481664,0.030917636418576033,1,,NOT_MODELED
alexnet,linear_bit,1.0,c8_r32,ASWM,8,0.8924197883334953,0.0346481664,0.030920709324831725,1,,NOT_MODELED
alexnet,optimistic_constant_symbol,0.0,c8_r32,ASWM,8,0.6336487680631118,0.0346481664,0.021954767955005703,1,,NOT_MODELED
alexnet,optimistic_constant_symbol,0.5,c8_r32,ASWM,8,0.6337278120896143,0.0346481664,0.021957506685588886,1,,NOT_MODELED
alexnet,optimistic_constant_symbol,1.0,c8_r32,ASWM,8,0.633816500946052,0.0346481664,0.021960579591844567,1,,NOT_MODELED
gpt2_medium,conservative_walden,0.0,c8_r32,ASWM,145,209.47129903913796,2.2629842944000007,474.0302598531352,60578,,NOT_MODELED
gpt2_medium,conservative_walden,0.5,c8_r32,ASWM,145,209.4779943332398,2.2629842944000007,474.045411198534,60578,,NOT_MODELED
gpt2_medium,conservative_walden,1.0,c8_r32,ASWM,145,209.485506576779,2.2629842944000007,474.0624112876789,60578,,NOT_MODELED
gpt2_medium,linear_bit,0.0,c8_r32,ASWM,145,99.35822840398242,2.2629842944000007,224.84611039762027,1,,NOT_MODELED
