network,architecture,variant,slice_bits,energy_model,optical_loss_db_per_stage,accuracy_status,layers,energy_j,latency_s,edp_j_s
gpt2_medium,c4_r32,analog8,8,linear_bit,0.5,NOT_MODELED,145,238.01515879956654,1.1314921472,269.3122830962705
gpt2_medium,c4_r32,analog8,8,linear_bit,1.0,NOT_MODELED,145,238.01515879956654,1.1314921472,269.3122830962705
gpt2_medium,c4_r32,analog8,8,conservative_walden,0.0,NOT_MODELED,145,5166.112208779353,1.1314921472,5845.415395787884
gpt2_medium,c4_r32,analog8,8,conservative_walden,0.5,NOT_MODELED,145,5166.112208779353,1.1314921472,5845.415395787884
gpt2_medium,c4_r32,analog8,8,conservative_walden,1.0,NOT_MODELED,145,5166.112208779353,1.1314921472,5845.415395787884
gpt2_medium,deap_wide_kernel,mbosa2,2,optimistic_constant_symbol,0.0,NOT_MODELED,145,81.94874215773942,4.081647616,334.4858880623358
gpt2_medium,deap_wide_kernel,mbosa2,2,optimistic_constant_symbol,0.5,NOT_MODELED,145,82.07620175052143,4.081647616,335.0061332053508
gpt2_medium,deap_wide_kernel,mbosa2,2,optimistic_constant_symbol,1.0,NOT_MODELED,145,82.25624321074837,4.081647616,335.74099900226724
gpt2_medium,deap_wide_kernel,mbosa2,2,linear_bit,0.0,NOT_MODELED,145,84.08957267841038,4.081647616,343.2240038532924
gpt2_medium,deap_wide_kernel,mbosa2,2,linear_bit,0.5,NOT_MODELED,145,84.21703227119238,4.081647616,343.7442489963074
gpt2_medium,deap_wide_kernel,mbosa2,2,linear_bit,1.0,NOT_MODELED,145,84.39707373141931,4.081647616,344.47911479322386
gpt2_medium,deap_wide_kernel,mbosa2,2,conservative_walden,0.0,NOT_MODELED,145,86.23040319908131,4.081647616,351.96211964424896
gpt2_medium,deap_wide_kernel,mbosa2,2,conservative_walden,0.5,NOT_MODELED,145,86.35786279186333,4.081647616,352.48236478726403
gpt2_medium,deap_wide_kernel,mbosa2,2,conservative_walden,1.0,NOT_MODELED,145,86.53790425209026,4.081647616,353.2172305841804
resnet18,c8_r16,analog8,8,optimistic_constant_symbol,0.0,NOT_MODELED,21,2.087074402404034,0.0394247168,0.08228231725530828
resnet18,c8_r16,analog8,8,optimistic_constant_symbol,0.5,NOT_MODELED,21,2.087074402404034,0.0394247168,0.08228231725530828
resnet18,c8_r16,analog8,8,optimistic_constant_symbol,1.0,NOT_MODELED,21,2.087074402404034,0.0394247168,0.08228231725530828
resnet18,c8_r16,analog8,8,linear_bit,0.0,NOT_MODELED,21,4.900302992927132,0.0394247168,0.19319305773034456
resnet18,c8_r16,analog8,8,linear_bit,0.5,NOT_MODELED,21,4.900302992927132,0.0394247168,0.19319305773034456
resnet18,c8_r16,analog8,8,linear_bit,1.0,NOT_MODELED,21,4.900302992927132,0.0394247168,0.19319305773034456
resnet18,c8_r16,analog8,8,conservative_walden,0.0,NOT_MODELED,21,104.16708325852785,0.0394247168,4.106757757349482
resnet18,c8_r16,analog8,8,conservative_walden,0.5,NOT_MODELED,21,104.16708325852785,0.0394247168,4.106757757349482
resnet18,c8_r16,analog8,8,conservative_walden,1.0,NOT_MODELED,21,104.16708325852785,0.0394247168,4.106757757349482
vision_transformer,c8_r4,mbosa1,1,optimistic_constant_symbol,0.0,NOT_MODELED,98,47.60641794887443,1.6857053184,80.25039192639085
vision_transformer,c8_r4,mbosa1,1,optimistic_constant_symbol,0.5,NOT_MODELED,98,48.010772934799206,1.6857053184,80.93201527668579
vision_transformer,c8_r4,mbosa1,1,optimistic_constant_symbol,1.0,NOT_MODELED,98,48.916010989274476,1.6857053184,82.45797987953283
vision_transformer,c8_r4,mbosa1,1,linear_bit,0.0,NOT_MODELED,98,47.60641794887443,1.6857053184,80.25039192639085
vision_transformer,c8_r4,mbosa1,1,linear_bit,0.5,NOT_MODELED,98,48.010772934799206,1.6857053184,80.93201527668579
vision_transformer,c8_r4,mbosa1,1,linear_bit,1.0,NOT_MODELED,98,48.916010989274476,1.6857053184,82.45797987953283
vision_transformer,c8_r4,mbosa1,1,conservative_walden,0.0,NOT_MODELED,98,47.60641794887443,1.6857053184,80.25039192639085
vision_transformer,c8_r4,mbosa1,1,conservative_walden,0.5,NOT_MODELED,98,48.010772934799206,1.6857053184,80.93201527668579
vision_transformer,c8_r4,mbosa1,1,conservative_walden,1.0,NOT_MODELED,98,48.916010989274476,1.6857053184,82.45797987953283
gpt2_medium,c4_r32,mbosa1,1,optimistic_constant_symbol,0.0,NOT_MODELED,145,213.89382602194814,9.0519371776,1936.1534758271785
gpt2_medium,c4_r32,mbosa1,1,optimistic_constant_symbol,0.5,NOT_MODELED,145,214.16502479765947,9.0519371776,1938.6083501075595
gpt2_medium,c4_r32,mbosa1,1,optimistic_constant_symbol,1.0,NOT_MODELED,145,214.77216322959833,9.0519371776,1944.1041290515766
gpt2_medium,c4_r32,mbosa1,1,linear_bit,0.0,NOT_MODELED,145,213.89382602194814,9.0519371776,1936.1534758271785
gpt2_medium,c4_r32,mbosa1,1,linear_bit,0.5,NOT_MODELED,145,214.16502479765947,9.0519371776,1938.6083501075595
gpt2_medium,c4_r32,mbosa1,1,linear_bit,1.0,NOT_MODELED,145,214.77216322959833,9.0519371776,1944.1041290515766
gpt2_medium,c4_r32,mbosa1,1,conservative_walden,0.0,NOT_MODELED,145,213.89382602194814,9.0519371776,1936.1534758271785
gpt2_medium,c4_r32,mbosa1,1,conservative_walden,0.5,NOT_MODELED,145,214.16502479765947,9.0519371776,1938.6083501075595
gpt2_medium,c4_r32,mbosa1,1,conservative_walden,1.0,NOT_MODELED,145,214.77216322959833,9.0519371776,1944.1041290515766
vision_transformer,c8_r32,mbosa2,2,optimistic_constant_symbol,0.0,NOT_MODELED,98,18.541573901294655,0.842883072,15.628378769638264
