energy_model,optical_loss_db_per_stage,mapping,architecture,geometric_mean_edp,rank
conservative_walden,1.0,ASWM-WS,c4_r16,4.284107183376569,4
conservative_walden,1.0,ASWM-WS,c4_r32,4.429231050774448,5
conservative_walden,1.0,ASWM-WS,c4_r8,5.477902619364652,6
conservative_walden,1.0,ASWM-WS,c8_r4,6.067200538895499,7
conservative_walden,1.0,ASWM-WS,compact_4x4,8.612214553033755,8
conservative_walden,1.0,Joint-ASWM,c8_r32,1.9242508575955726,1
conservative_walden,1.0,Joint-ASWM,c8_r16,2.874572307526652,2
conservative_walden,1.0,Joint-ASWM,c4_r32,3.3667636235537595,3
conservative_walden,1.0,Joint-ASWM,c4_r16,4.0052545081496005,4
conservative_walden,1.0,Joint-ASWM,paper_optimum_8x8,4.044548821845682,5
conservative_walden,1.0,Joint-ASWM,c4_r8,5.477902619364652,6
conservative_walden,1.0,Joint-ASWM,c8_r4,6.067200538895499,7
conservative_walden,1.0,Joint-ASWM,compact_4x4,8.612214553033752,8
conservative_walden,1.0,Mixed-1bit,c8_r32,5.824129409387066,1
conservative_walden,1.0,Mixed-1bit,c8_r16,6.744899341575938,2
conservative_walden,1.0,Mixed-1bit,paper_optimum_8x8,7.57077855555709,3
conservative_walden,1.0,Mixed-1bit,c4_r32,7.794831568862393,4
conservative_walden,1.0,Mixed-1bit,c4_r16,7.9109587620307025,5
conservative_walden,1.0,Mixed-1bit,c4_r8,8.230476830624038,6
conservative_walden,1.0,Mixed-1bit,c8_r4,9.428986913958088,7
conservative_walden,1.0,Mixed-1bit,compact_4x4,10.596862752031154,8
linear_bit,0.0,ASWM-IS,c8_r32,1.528774517944406,1
linear_bit,0.0,ASWM-IS,c4_r32,2.8565902463164496,2
linear_bit,0.0,ASWM-IS,c8_r16,3.221497592993027,3
linear_bit,0.0,ASWM-IS,c4_r16,6.205751943962737,4
linear_bit,0.0,ASWM-IS,paper_optimum_8x8,6.908367608107538,5
linear_bit,0.0,ASWM-IS,c4_r8,17.620576070142377,6
linear_bit,0.0,ASWM-IS,c8_r4,18.26144798574813,7
linear_bit,0.0,ASWM-IS,compact_4x4,44.350698671005404,8
linear_bit,0.0,ASWM-WS,c8_r32,1.2936446111902236,1
linear_bit,0.0,ASWM-WS,c8_r16,1.559477482623683,2
linear_bit,0.0,ASWM-WS,paper_optimum_8x8,2.101034455359812,3
linear_bit,0.0,ASWM-WS,c4_r32,2.1573631292558937,4
linear_bit,0.0,ASWM-WS,c4_r16,2.224756877617275,5
linear_bit,0.0,ASWM-WS,c4_r8,3.0939220519532378,6
linear_bit,0.0,ASWM-WS,c8_r4,3.405210864012308,7
linear_bit,0.0,ASWM-WS,compact_4x4,5.138164194518733,8
linear_bit,0.0,Joint-ASWM,c8_r32,0.9661287070785026,1
linear_bit,0.0,Joint-ASWM,c8_r16,1.3794683223164448,2
linear_bit,0.0,Joint-ASWM,c4_r32,1.675618467888644,3
linear_bit,0.0,Joint-ASWM,paper_optimum_8x8,2.101034455359812,4
linear_bit,0.0,Joint-ASWM,c4_r16,2.1300831619176934,5
linear_bit,0.0,Joint-ASWM,c4_r8,3.0939220519532378,6
