network,architecture,energy_model,optical_loss_db_per_stage,layer,slice_bits,energy_j,latency_s,accuracy,accuracy_status
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/040,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/041,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/042,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/043,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/044,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/045,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/046,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/047,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/048,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/049,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/050,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/051,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/052,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/053,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/054,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/055,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/056,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/057,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/058,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/059,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/060,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/061,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/062,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
