network,architecture,energy_model,optical_loss_db_per_stage,mapping,stationarity,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status,best_fixed_stationarity,best_fixed_slice_bits,fixed_edp_j_s,aswm_reduction_vs_best_fixed
gpt2_medium,c8_r32,linear_bit,1.0,ASWM-WS,WS,145,100.46482870311979,2.2629842944000007,227.3503294947465,1,,NOT_MODELED,WS,4,227.35032949474655,2.220446049250313e-16
gpt2_medium,c8_r32,conservative_walden,0.0,ASWM-WS,WS,145,210.56369180063433,2.2629842944000007,476.5023275157177,60578,,NOT_MODELED,WS,4,476.50232751571724,-8.881784197001252e-16
gpt2_medium,c8_r32,conservative_walden,0.5,ASWM-WS,WS,145,210.5703870947361,2.2629842944000007,476.5174788611164,60578,,NOT_MODELED,WS,4,476.51747886111616,-4.440892098500626e-16
gpt2_medium,c8_r32,conservative_walden,1.0,ASWM-WS,WS,145,210.57789933827536,2.2629842944000007,476.5344789502614,60578,,NOT_MODELED,WS,4,476.53447895026113,-6.661338147750939e-16
mobilenet_v3,c4_r16,optimistic_constant_symbol,0.0,ASWM-WS,WS,64,0.4904370772741551,0.020587878400000006,0.010097058909771712,1,,NOT_MODELED,WS,4,0.01009705890977171,-2.220446049250313e-16
mobilenet_v3,c4_r16,optimistic_constant_symbol,0.5,ASWM-WS,WS,64,0.4905304693895429,0.020587878400000006,0.010098981655286835,1,,NOT_MODELED,WS,4,0.01009898165528683,-4.440892098500626e-16
mobilenet_v3,c4_r16,optimistic_constant_symbol,1.0,ASWM-WS,WS,64,0.49063525706649413,0.020587878400000006,0.010101139011237725,1,,NOT_MODELED,WS,4,0.010101139011237721,-4.440892098500626e-16
mobilenet_v3,c4_r16,linear_bit,0.0,ASWM-WS,WS,64,1.183336965313528,0.020587878400000006,0.024362397548099938,417856,,NOT_MODELED,WS,4,0.024362397548099934,-2.220446049250313e-16
mobilenet_v3,c4_r16,linear_bit,0.5,ASWM-WS,WS,64,1.1834303574289156,0.020587878400000006,0.024364320293615058,416053,,NOT_MODELED,WS,4,0.024364320293615054,-2.220446049250313e-16
mobilenet_v3,c4_r16,linear_bit,1.0,ASWM-WS,WS,64,1.1835351451058667,0.020587878400000006,0.024366477649565944,411483,,NOT_MODELED,WS,4,0.024366477649565944,0.0
mobilenet_v3,c4_r16,conservative_walden,0.0,ASWM-WS,WS,64,1.043755049359851,0.04117575680000001,0.042977404071213234,604981,,NOT_MODELED,WS,2,0.04297740407121322,-2.220446049250313e-16
mobilenet_v3,c4_r16,conservative_walden,0.5,ASWM-WS,WS,64,1.0443866071862136,0.04117575680000001,0.04300340894267667,599613,,NOT_MODELED,WS,2,0.04300340894267669,3.3306690738754696e-16
mobilenet_v3,c4_r16,conservative_walden,1.0,ASWM-WS,WS,64,1.0452787063275524,0.04117575680000001,0.04304014179996193,596517,,NOT_MODELED,WS,2,0.04304014179996191,-2.220446049250313e-16
mobilenet_v3,c4_r8,optimistic_constant_symbol,0.0,ASWM-WS,WS,64,0.5599396193709635,0.011430016000000006,0.006400118808444026,1,,NOT_MODELED,WS,4,0.006400118808444025,-2.220446049250313e-16
mobilenet_v3,c4_r8,optimistic_constant_symbol,0.5,ASWM-WS,WS,64,0.5600618871652778,0.011430016000000006,0.0064015163312893236,1,,NOT_MODELED,WS,4,0.006401516331289321,-4.440892098500626e-16
